,primaryTitle,genres
9136156,1,7
9136156,1,3
3659373,2,15
4097819,3,5
6124823,4,7
6127192,5,2
6127192,5,1
1979739,6,2
924326,7,2
5948764,8,7
5948764,8,3
2292349,9,1
2292349,9,6
3471832,10,14
3471832,10,17
3471832,10,3
71508,11,2
9705150,12,1
9705150,12,8
9705150,12,4
8919450,13,12
8919450,13,13
8919450,13,11
7262422,830,6
2520675,15,2
2520675,15,4
9087896,16,1
9087896,16,6
5477234,128,12
5477234,128,10
5477234,128,18
3436372,972,1
3436372,972,8
3436372,972,4
7807032,19,5
7807032,19,7
4289995,20,1
9439524,21,12
9439524,21,1
9439524,21,20
7905763,22,2
7905763,22,4
9120357,23,2
8565177,24,1
6750564,25,14
6258985,26,2
4921524,27,2
4921524,27,4
1987316,28,9
912638,29,2
912638,29,15
912638,29,9
6202424,30,12
6202424,30,4
1952772,31,5
1952772,31,4
5769919,656,1
1534449,33,2
1906296,35,2
8216011,36,1
8216011,36,8
5904719,37,4
6137987,38,7
6137987,38,17
6137987,38,3
2788288,830,11
2788288,830,1
7780753,40,2
2625605,41,8
2896364,42,10
2896364,42,2
2896364,42,8
3809376,43,20
1761527,44,2
1761527,44,6
778735,46,14
778735,46,3
4756451,47,3
4631826,50,3
179227,51,16
8335470,193,3
8968177,53,1
5912796,54,3
8349569,557,17
6320230,56,5
6320230,56,4
3287667,57,1
189936,58,2
4046705,60,7
5360609,61,10
3476823,62,9
886269,63,1
886269,63,6
8058178,64,2
8058178,64,4
160420,65,1
3910641,66,3
6302205,67,5
4501973,68,5
9326255,256,1
9326255,256,6
834074,70,13
834074,70,8
7329153,71,1
7329153,71,6
4506707,72,12
4506707,72,11
4506707,72,19
7907204,74,1
7907204,74,6
7052441,75,12
7052441,75,13
7052441,75,10
2239248,76,14
2152057,77,8
2152057,77,4
5258647,78,1
5258647,78,4
7126520,79,9
509041,80,27
8385634,857,1
8385634,857,6
9062887,82,23
9062887,82,4
9062887,82,21
7800697,83,10
7482011,84,3
1771224,85,16
7816757,204,2
7816757,204,1
7816757,204,6
8064291,87,7
8064291,87,17
8064291,87,3
5511038,88,1
5511038,88,6
475793,89,10
475793,89,4
7156933,90,8
5790378,91,13
5790378,91,1
5790378,91,6
9637612,92,12
9637612,92,13
9637612,92,2
6633088,830,23
9379106,94,16
1855453,95,9
9570962,97,5
9570962,97,4
4681426,98,22
9307379,99,2
9307379,99,3
6189544,100,1
6189544,100,8
2081477,101,5
2081477,101,22
2081477,101,4
4593339,102,11
114276,103,5
8979728,104,5
3703554,906,1
4216777,106,7
6419090,107,1
1721388,108,6
2611080,109,8
9467687,110,3
1918560,111,5
2530083,112,1
2530083,112,4
7616858,113,11
7616858,113,1
7616858,113,6
8921045,114,1
8921045,114,6
8277330,115,16
1328473,116,23
1328473,116,4
6168908,117,5
5395774,118,3
9762471,119,1
9762471,119,8
9762471,119,6
4373278,120,2
4373278,120,15
4373278,120,14
6971981,121,7
6971981,121,3
2436446,122,1
2436446,122,4
3522686,123,8
9518751,702,8
9518751,702,15
8125308,125,10
180156,126,14
180156,126,4
8335230,127,11
8335230,127,4
866583,128,1
866583,128,6
6136995,129,12
6136995,129,2
6136995,129,1
3678184,130,7
802085,131,20
7565750,132,1
7565750,132,23
7565750,132,4
3797423,133,13
3797423,133,2
3797423,133,18
1780169,134,16
1780169,134,5
6306446,135,2
5382970,136,12
5382970,136,11
5382970,136,1
8247764,137,12
8247764,137,13
8247764,137,10
4993604,906,2
4595387,139,7
212666,140,5
1402453,141,12
1402453,141,13
1402453,141,2
9280821,142,5
9280821,142,4
9215834,143,1
5382424,144,5
7327222,656,2
7327222,656,6
4110360,146,2
4110360,146,14
4110360,146,3
3110912,147,3
8316235,148,16
5312186,149,22
5312186,149,4
3392483,150,2
3392483,150,1
5885893,151,24
5885893,151,1
5885893,151,22
1266661,152,9
9637172,153,12
9637172,153,1
9637172,153,18
1547912,154,2
1547912,154,1
1547912,154,6
1531639,155,3
5323259,156,4
6533349,157,3
3523552,158,2
1859585,162,1
1859585,162,6
5139730,160,1
5139730,160,6
5061059,161,5
5061059,161,7
6575760,162,14
1374066,163,2
1374066,163,5
1374066,163,15
356590,165,4
8068021,166,4
8003020,167,2
1235238,168,5
808330,169,5
3145976,170,1
221910,171,2
221910,171,5
4231504,172,7
8556007,173,21
5128443,174,3
1736733,175,1
2193087,176,1
712008,177,3
2833673,179,7
2833673,179,3
2368629,181,2
2368629,181,8
2368629,181,15
1561869,182,14
3212555,183,13
3212555,183,10
3212555,183,2
5598978,184,4
6203770,185,2
6203770,185,8
6203770,185,4
4209560,186,2
4209560,186,15
4209560,186,3
454361,187,8
6014279,188,3
2312543,189,2
9026333,190,3
3993146,191,2
3993146,191,20
3993146,191,4
6163504,192,10
6163504,192,2
6163504,192,20
8095602,193,7
4913324,195,2
4913324,195,4
9407236,196,2
9407236,196,3
2250868,197,5
3363434,198,10
3363434,198,2
3363434,198,8
9612222,199,20
9612222,199,4
6528019,200,16
6528019,200,4
6010146,201,14
6010146,201,3
5988715,202,11
5988715,202,1
5988715,202,6
4164996,203,2
4164996,203,15
4164996,203,3
3436690,204,21
124285,205,5
8323140,206,16
3640926,207,12
3640926,207,10
3640926,207,2
9578412,208,1
4678854,209,10
4678854,209,8
5672967,210,8
3888566,211,3
9783843,212,18
6795229,213,13
6795229,213,10
6795229,213,2
8001923,214,1
8001923,214,6
7901262,215,5
7901262,215,3
9675262,216,1
2997550,217,2
2584283,721,1
7602516,220,2
7602516,220,1
7602516,220,3
5810840,221,5
5810840,221,26
3042665,222,3
2763238,223,2
2763238,223,11
6836175,224,7
1163144,225,1
1163144,225,8
5602579,413,1
2336738,227,7
2336738,227,3
3186812,228,10
3186812,228,4
4178698,229,2
4178698,229,15
4178698,229,3
7029842,231,3
2664926,232,5
2664926,232,4
3170720,233,8
7620390,234,5
