,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
12472,nm0012804,Edmond Agabra,1926,2012,14,"tt0050245,tt0051473,tt0050390,tt0054284"
12964,nm0013324,Martin Agronsky,1915,1999,1,"tt0067926,tt0045368,tt0082382,tt0207902"
16066,nm0016596,Sydell Albert,NULL,NULL,4,"tt8039362,tt11742986,tt11814552,tt6914742"
24125,nm0025095,Albert Ammons,1907,1949,20,"tt2073099,tt6106822,tt0268995,tt6334726"
28787,nm0030023,Geneviève Anhoury,NULL,NULL,7,"tt0804275,tt0350736,tt0231690"
33587,nm0035072,Jacky Arkin,NULL,NULL,1,"tt0121714,tt0133817"
35569,nm0037162,Henry Arras,NULL,NULL,1,"tt0165954,tt0416975"
47159,nm0049357,Hugues Balagny,NULL,NULL,6,"tt1252549,tt0296547,tt0241677,tt0204709"
50366,nm0052753,Reuven Bar-Yotam,1935,2021,1,"tt0148324,tt0960144,tt0121714,tt0081900"
59573,nm0062424,Fred Baur,NULL,NULL,1,tt0073006
60137,nm0063016,Georges Bayle,NULL,NULL,1,"tt0050390,tt0048109"
69889,nm0073214,Ryszard Ber,1933,2004,7,"tt0092807,tt0067295,tt0061213,tt0113522"
74292,nm0077846,Loredana Bertè,1950,NULL,2,"tt0066271,tt5726616"
75660,nm0079289,Paola Bettega,NULL,NULL,2,"tt26627353,tt0275425,tt0138246,tt0247866"
76807,nm0080496,Isabella Biagini,1940,2018,2,"tt0066271,tt0074137,tt0128121,tt0085516"
78851,nm0082652,Vera Mazzeo,NULL,NULL,3,"tt0166048,tt0250871,tt0091910,tt0882790"
79200,nm0083015,Thierry Binisti,NULL,NULL,7,"tt0241677,tt0443842,tt0312992,tt0268272"
86641,nm0090828,Lenore Bode,NULL,NULL,6,"tt0072273,tt0257099,tt0073006,tt0185654"
94707,nm0099309,Marcel Bouguereau,NULL,NULL,6,"tt0206186,tt0193091,tt0149655,tt0050390"
99717,nm0104606,Ingela Brander,1943,NULL,2,"tt0061910,tt0124784,tt0057721,tt10481768"
115836,nm0121675,Erika Burke Rossa,1971,NULL,2,"tt3395468,tt7491982,tt0293859,tt0057731"
116267,nm0122136,Ed Burley,NULL,NULL,4,"tt1961303,tt0229659"
124397,nm0130710,Danièle Caloz,NULL,NULL,4,"tt4548688,tt0116971,tt2088989,tt0324358"
129166,nm0135721,Aldo Capuano,NULL,NULL,8,"tt0066271,tt0058483,tt0058881,tt0183452"
130947,nm0137597,Billie Carlyle,1902,1991,2,"tt0148872,tt0168195,tt0343349,tt4185604"
131001,nm0137654,Una Mae Carlisle,1915,1956,2,"tt0367027,tt6334726,tt0136965,tt1457603"
132814,nm0139587,Alex Carr,NULL,NULL,1,tt0291928
133815,nm0140653,Paul Carrière,NULL,NULL,7,"tt8684752,tt0283444,tt0116971,tt5602622"
