,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
137,tt0000140,2,Baignade dans le torrent,Baignade dans le torrent,0,1897,NULL,1,Short
2778,tt0002805,2,Diverging Paths,Diverging Paths,0,1913,NULL,11,"Drama,Short"
40358,tt0041069,5,The Voice of Firestone,The Voice of Firestone,0,1949,1963,30,Music
41373,tt0042107,5,The Frank Sinatra Show,The Frank Sinatra Show,0,1950,1952,60,Music
43520,tt0044298,5,Today,Today,0,1952,NULL,240,"News,Talk-Show"
45564,tt0046383,3,La sultana Safiyè,La sultana Safiyè,0,1955,NULL,NULL,Drama
46326,tt0047169,3,Lettera napoletana,Lettera napoletana,0,1954,NULL,92,"Drama,Musical"
49490,tt0050390,3,Le feu aux poudres,Le feu aux poudres,0,1957,NULL,73,"Crime,Thriller"
50331,tt0051257,5,Blue Peter,Blue Peter,0,1958,NULL,25,Family
50345,tt0051272,5,From These Roots,From These Roots,0,1958,1961,30,Drama
51480,tt0052451,5,Bonanza,Bonanza,0,1959,1973,49,Western
52488,tt0053494,5,Coronation Street,Coronation Street,0,1960,NULL,30,"Drama,Romance"
54458,tt0055503,3,Tammy Tell Me True,Tammy Tell Me True,0,1961,NULL,97,Comedy
56636,tt0057731,5,Another World,Another World,0,1964,1999,90,"Drama,Romance"
56645,tt0057741,5,Crossroads,Crossroads,0,1964,1988,30,Drama
57675,tt0058791,5,The Big Valley,The Big Valley,0,1965,1969,60,Western
57680,tt0058796,5,Days of Our Lives,Days of Our Lives,0,1965,NULL,60,"Drama,Romance"
62620,tt0063890,5,The David Frost Show,The David Frost Show,0,1969,1972,90,Talk-Show
64949,tt0066271,3,Quelli belli... siamo noi,Quelli belli... siamo noi,0,1971,NULL,87,"Musical,Romance"
65953,tt0067295,3,Kaszebe,Kaszebe,0,1971,NULL,82,"Drama,Romance"
68225,tt0069629,5,Sesamstraße,Sesamstraße,0,1973,NULL,30,"Animation,Comedy,Family"
68254,tt0069658,5,The Young and the Restless,The Young and the Restless,0,1973,NULL,37,"Drama,Romance"
70351,tt0071820,3,Master Samurai,Master Samurai,0,1974,NULL,91,"Action,Crime,Thriller"
71067,tt0072559,5,Ryan's Hope,Ryan's Hope,0,1975,1989,30,"Drama,Romance"
71092,tt0072584,5,Wheel of Fortune,Wheel of Fortune,0,1983,NULL,30,"Family,Game-Show"
71508,tt0073006,3,Foreplay,Foreplay,0,1975,NULL,75,Comedy
72461,tt0073991,5,Family Feud,Family Feud,0,1976,1985,30,Game-Show
73894,tt0075469,5,1990,1990,0,1977,1978,55,"Drama,Sci-Fi,Thriller"
73935,tt0075512,5,Grange Hill,Grange Hill,0,1978,2008,30,"Comedy,Drama,Family"
80174,tt0081935,5,Sons and Daughters,Sons and Daughters,0,1982,1987,30,"Drama,Romance"
83257,tt0085109,5,Webster,Webster,0,1983,1989,30,"Comedy,Family"
84861,tt0086757,5,Me and My Girl,Me and My Girl,0,1984,1988,30,Comedy
84912,tt0086810,5,Surprise! Surprise!,Surprise! Surprise!,0,1984,2015,60,Reality-TV
86568,tt0088512,5,EastEnders,EastEnders,0,1985,NULL,30,"Crime,Drama,Romance"
86633,tt0088580,5,Neighbours,Neighbours,0,1985,2023,22,"Drama,Romance"
90296,tt0092325,5,The Bold and the Beautiful,The Bold and the Beautiful,0,1987,NULL,30,"Drama,Romance"
90319,tt0092348,5,Das Erbe der Guldenburgs,Das Erbe der Guldenburgs,0,1987,1990,50,Drama
92395,tt0094481,5,Home and Away,Home and Away,0,1988,NULL,22,"Drama,Romance"
94400,tt0096532,5,American Gladiators,American Gladiators,0,1989,1997,60,"Action,Game-Show,Sport"
94464,tt0096597,5,"Goede tijden, slechte tijden","Goede tijden, slechte tijden",0,1990,NULL,23,"Drama,Romance"
94503,tt0096636,5,Live with Kelly and Mark,Live with Kelly and Mark,0,1988,NULL,60,Talk-Show
